sku,is_in_stock,new_qty,status
AI-PP-CT-S-WH,false,0,Not Found in API Response
BA-G-7031-BKX2,1,200,In Stock
BA-TW-9078-BKX2,1,35,In Stock
BAM-B-FS68C-NT,1,100,In Stock
BAM-B-SR14-NT,1,200,In Stock
BAM-B-SR2001-NT,1,200,In Stock
BAM-B-SR7026-NT,1,118,In Stock
BENT-C-077-BKX2,1,75,In Stock
BFRAME-E-BSIDE-BK,1,74,In Stock
BFRAME-E-BSIDE-CHAR,1,105,In Stock
BFRAME-E-BSIDE-GY,1,151,In Stock
CABINET-8836-WH,false,0,Not Found in API Response
DIY-BATH-LVD01-WH,1,66,In Stock
DIY-CR-12-2MT-WH,1,192,In Stock
DIY-CR-257M-BK,false,0,Not Found in API Response
DIY-SHOE-10T-BK,1,200,In Stock
DIY-SHOE-10T-COV-BK,false,0,Not Found in API Response
DIY-SHOE-12-WH,1,200,In Stock
DIY-SHOE-12T-WH,1,52,In Stock
DIY-SHOE-15-WH,false,0,Not Found in API Response
DIY-SHOE-16-WH,1,185,In Stock
DIY-SHOE-2-WH,false,0,Not Found in API Response
DIY-SHOE-5T-BK,false,0,Not Found in API Response
DIY-SHOE-8-WH,false,0,Not Found in API Response
DIY-SHOE-BOX-12-WH,false,0,Not Found in API Response
DIY-SHOE-BOX-24-WH,1,200,In Stock
DIY-SHOE-BOX-MG-2-WH,false,0,Not Found in API Response
DIY-WR-175-BK,1,200,In Stock
DIY-WR-175-GY,1,200,In Stock
DRESS-D-BS-1D1S-BK,false,0,Not Found in API Response
DRESS-D-BS-1D1S-WD,1,49,In Stock
DRESS-D-BS-1DX2,1,47,In Stock
DRESS-D-NEW-HS-3D,1,69,In Stock
DRESS-D-STOOL-WH,1,155,In Stock
DRESS-TAB-BS-1D,1,55,In Stock
DRESS-TAB-BS-WH,1,120,In Stock
FUR-R-BS-LED-01-BK,1,121,In Stock
FUR-R-BS-LED-04-BK,1,119,In Stock
FUR-R-COF-LED-01-BK,1,119,In Stock
FUR-R-COF-LED-01-WH,1,54,In Stock
FUR-S-BAR-TAB-CHR-SET-WD,1,132,In Stock
FUR-S-BS-01-WD,1,36,In Stock
FUR-S-BS-03-WHBK,1,65,In Stock
FUR-S-COF04-WHWD,false,0,Not Found in API Response
FUR-S-COF07-WAL,1,39,In Stock
FUR-S-COF07-WHBK,1,0,Quantity < 25, set to 0
FUR-S-DSHELF-01-BK,1,132,In Stock
FUR-S-DSHELF-02-WH,false,0,Not Found in API Response
FUR-S-OTM-RTA-03-PB-WH,1,181,In Stock
FUR-S-SHOE-2T-FL01-WHX2,1,36,In Stock
FUR-S-SHOE-BEN03-WH,1,39,In Stock
FUR-S-SHOE-STACK-8T-NT,1,41,In Stock
FUR-S-SR01-WD,1,40,In Stock
FUR-S-SR02-WDWH,1,177,In Stock
FUR-T-BS-03-WD,1,200,In Stock
FUR-T-BS01-1D1S-WD,false,0,Not Found in API Response
FUR-T-BS02-2D-WD,1,156,In Stock
FUR-T-DSHELF-02-WD,1,69,In Stock
FUR-U-BS-01-WD,false,0,Not Found in API Response
FUR-U-COF-01-WD,1,57,In Stock
FUR-U-COF-02-WD,1,153,In Stock
FUR-U-COF-06-WD,1,75,In Stock
FUR-U-CST-01-WDWH,1,70,In Stock
FUR-V-BATH-118-WH,1,200,In Stock
FUR-W-SHOE-LVD02-WD,1,68,In Stock
FUR-W-SHOE-LVD02-WH,1,200,In Stock
FUR-X-BS-LED-01-WH,1,188,In Stock
FUR-X-BS-LED-02-GY,1,168,In Stock
FURNI-B-CAB-5T-WH,1,56,In Stock
FURNI-BOOK-3PC,1,73,In Stock
FURNI-C-BS-TOGO-BK,1,128,In Stock
FURNI-C-BS-TOGO-WH,1,165,In Stock
FURNI-C-BS-TOGO-WHX2,1,82,In Stock
FURNI-C-GBTV-120-WHITE,1,43,In Stock
FURNI-C-SHOE-BEN102-WD,1,142,In Stock
FURNI-C-SHOE-BEN102-WH,1,200,In Stock
FURNI-C-SIDE-SHELF-WD,false,0,Not Found in API Response
FURNI-COFI338-TAB,1,78,In Stock
FURNI-DIS-6T-WH,1,200,In Stock
FURNI-E-ARD-WH,1,200,In Stock
FURNI-E-BATH-185-WH,1,200,In Stock
FURNI-E-BOOK-UBER-WH,1,200,In Stock
FURNI-E-CUB9-WH,1,200,In Stock
FURNI-E-DIS-AKEI-WH,1,110,In Stock
FURNI-E-JACO-SHOE-WHWD,1,45,In Stock
FURNI-E-MORE-01-WH,false,0,Not Found in API Response
FURNI-E-PURE-BK,1,200,In Stock
FURNI-E-PURE-WD,1,187,In Stock
FURNI-E-PURE-WH,1,200,In Stock
FURNI-E-RAT-BS-WD,1,200,In Stock
FURNI-E-RAT-SID90-WD,1,200,In Stock
FURNI-E-SCAN-BS01-WH,1,200,In Stock
FURNI-E-SCAN-BS01-WHX2,1,176,In Stock
FURNI-E-SCAN-BS02-WH,1,103,In Stock
FURNI-E-SCAN-BS03-WHBK,1,177,In Stock
